stack,port,busy_ns,utilization
0,0,1216,0.0195025
0,1,1152,0.018476
0,2,1152,0.018476
0,3,1152,0.018476
0,4,1152,0.018476
0,5,1152,0.018476
0,6,1152,0.018476
0,7,1152,0.018476
0,8,1152,0.018476
0,9,1152,0.018476
0,10,1152,0.018476
0,11,1152,0.018476
0,12,1152,0.018476
0,13,1152,0.018476
0,14,1152,0.018476
0,15,1152,0.018476
0,16,1024,0.0164232
0,17,1024,0.0164232
0,18,1024,0.0164232
0,19,1024,0.0164232
0,20,1024,0.0164232
0,21,1024,0.0164232
0,22,1024,0.0164232
0,23,1024,0.0164232
0,24,1024,0.0164232
0,25,1024,0.0164232
0,26,1024,0.0164232
0,27,1024,0.0164232
0,28,1024,0.0164232
0,29,1024,0.0164232
0,30,1024,0.0164232
0,31,1024,0.0164232
