stack,port,busy_ns,utilization
0,0,1088,0.0180743
0,1,1024,0.0170111
0,2,1024,0.0170111
0,3,1024,0.0170111
0,4,1024,0.0170111
0,5,1024,0.0170111
0,6,1024,0.0170111
0,7,1024,0.0170111
0,8,1024,0.0170111
0,9,1024,0.0170111
0,10,1024,0.0170111
0,11,1024,0.0170111
0,12,1024,0.0170111
0,13,1024,0.0170111
0,14,1024,0.0170111
0,15,1024,0.0170111
0,16,1024,0.0170111
0,17,1024,0.0170111
0,18,1024,0.0170111
0,19,1024,0.0170111
0,20,1024,0.0170111
0,21,1024,0.0170111
0,22,1024,0.0170111
0,23,1024,0.0170111
0,24,1024,0.0170111
0,25,1024,0.0170111
0,26,1024,0.0170111
0,27,1024,0.0170111
0,28,1024,0.0170111
0,29,1024,0.0170111
0,30,1024,0.0170111
0,31,1024,0.0170111
1,0,64,0.00106319
1,1,64,0.00106319
1,2,64,0.00106319
1,3,64,0.00106319
1,4,64,0.00106319
1,5,64,0.00106319
1,6,64,0.00106319
1,7,64,0.00106319
1,8,64,0.00106319
1,9,64,0.00106319
1,10,64,0.00106319
1,11,64,0.00106319
1,12,64,0.00106319
1,13,64,0.00106319
1,14,64,0.00106319
1,15,64,0.00106319
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
2,0,64,0.00106319
2,1,64,0.00106319
2,2,64,0.00106319
2,3,64,0.00106319
2,4,64,0.00106319
2,5,64,0.00106319
2,6,64,0.00106319
2,7,64,0.00106319
2,8,64,0.00106319
2,9,64,0.00106319
2,10,64,0.00106319
2,11,64,0.00106319
2,12,64,0.00106319
2,13,64,0.00106319
2,14,64,0.00106319
2,15,64,0.00106319
2,16,0,0
2,17,0,0
2,18,0,0
2,19,0,0
2,20,0,0
2,21,0,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
3,15,0,0
3,16,0,0
3,17,0,0
3,18,0,0
3,19,0,0
3,20,0,0
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
3,31,0,0
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,9,0,0
4,10,0,0
4,11,0,0
4,12,0,0
4,13,0,0
4,14,0,0
4,15,0,0
4,16,0,0
4,17,0,0
4,18,0,0
4,19,0,0
4,20,0,0
4,21,0,0
4,22,0,0
4,23,0,0
4,24,0,0
4,25,0,0
4,26,0,0
4,27,0,0
4,28,0,0
4,29,0,0
4,30,0,0
4,31,0,0
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
5,11,0,0
5,12,0,0
5,13,0,0
5,14,0,0
5,15,0,0
5,16,0,0
5,17,0,0
5,18,0,0
5,19,0,0
5,20,0,0
5,21,0,0
5,22,0,0
5,23,0,0
5,24,0,0
5,25,0,0
5,26,0,0
5,27,0,0
5,28,0,0
5,29,0,0
5,30,0,0
5,31,0,0
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
6,7,0,0
6,8,0,0
6,9,0,0
6,10,0,0
6,11,0,0
6,12,0,0
6,13,0,0
6,14,0,0
6,15,0,0
6,16,0,0
6,17,0,0
6,18,0,0
6,19,0,0
6,20,0,0
6,21,0,0
6,22,0,0
6,23,0,0
6,24,0,0
6,25,0,0
6,26,0,0
6,27,0,0
6,28,0,0
6,29,0,0
6,30,0,0
6,31,0,0
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0
7,12,0,0
7,13,0,0
7,14,0,0
7,15,0,0
7,16,0,0
7,17,0,0
7,18,0,0
7,19,0,0
7,20,0,0
7,21,0,0
7,22,0,0
7,23,0,0
7,24,0,0
7,25,0,0
7,26,0,0
7,27,0,0
7,28,0,0
7,29,0,0
7,30,0,0
7,31,0,0
