metric,value
completed_requests,4
read_requests,3
write_requests,1
completed_bytes,2232320
successful_bytes,2232320
failed_requests,0
program_failures,0
corrected_reads,0
uncorrectable_reads,0
read_retries,0
makespan_ns,60264
measurement_duration_ns,60264
mean_latency_ns,14940.2
p99_latency_ns,50264
effective_bandwidth_GBps,37.0423
effective_goodput_GBps,37.0423
op_READ_count,3
op_READ_bytes,2228224
op_READ_bandwidth_GBps,36.9744
op_READ_mean_latency_ns,3165.67
op_READ_p99_latency_ns,4819
op_WRITE_count,1
op_WRITE_bytes,4096
op_WRITE_bandwidth_GBps,0.0679676
op_WRITE_mean_latency_ns,50264
op_WRITE_p99_latency_ns,50264
