plane,busy_ns,utilization
0,56000,0.896186
1,6000,0.09602
2,6000,0.09602
3,6000,0.09602
4,6000,0.09602
5,6000,0.09602
6,6000,0.09602
7,6000,0.09602
8,6000,0.09602
9,6000,0.09602
10,6000,0.09602
11,6000,0.09602
12,6000,0.09602
13,6000,0.09602
14,6000,0.09602
15,6000,0.09602
16,2000,0.0320067
17,2000,0.0320067
18,2000,0.0320067
19,2000,0.0320067
20,2000,0.0320067
21,2000,0.0320067
22,2000,0.0320067
23,2000,0.0320067
24,2000,0.0320067
25,2000,0.0320067
26,2000,0.0320067
27,2000,0.0320067
28,2000,0.0320067
29,2000,0.0320067
30,2000,0.0320067
31,2000,0.0320067
32,2000,0.0320067
33,2000,0.0320067
34,2000,0.0320067
35,2000,0.0320067
36,2000,0.0320067
37,2000,0.0320067
38,2000,0.0320067
39,2000,0.0320067
40,2000,0.0320067
41,2000,0.0320067
42,2000,0.0320067
43,2000,0.0320067
44,2000,0.0320067
45,2000,0.0320067
46,2000,0.0320067
47,2000,0.0320067
48,2000,0.0320067
49,2000,0.0320067
50,2000,0.0320067
51,2000,0.0320067
52,2000,0.0320067
53,2000,0.0320067
54,2000,0.0320067
55,2000,0.0320067
56,2000,0.0320067
57,2000,0.0320067
58,2000,0.0320067
59,2000,0.0320067
60,2000,0.0320067
61,2000,0.0320067
62,2000,0.0320067
63,2000,0.0320067
64,2000,0.0320067
65,2000,0.0320067
66,2000,0.0320067
67,2000,0.0320067
68,2000,0.0320067
69,2000,0.0320067
70,2000,0.0320067
71,2000,0.0320067
72,2000,0.0320067
73,2000,0.0320067
74,2000,0.0320067
75,2000,0.0320067
76,2000,0.0320067
77,2000,0.0320067
78,2000,0.0320067
79,2000,0.0320067
80,2000,0.0320067
81,2000,0.0320067
82,2000,0.0320067
83,2000,0.0320067
84,2000,0.0320067
85,2000,0.0320067
86,2000,0.0320067
87,2000,0.0320067
88,2000,0.0320067
89,2000,0.0320067
90,2000,0.0320067
91,2000,0.0320067
92,2000,0.0320067
93,2000,0.0320067
94,2000,0.0320067
95,2000,0.0320067
96,2000,0.0320067
97,2000,0.0320067
98,2000,0.0320067
99,2000,0.0320067
100,2000,0.0320067
101,2000,0.0320067
102,2000,0.0320067
103,2000,0.0320067
104,2000,0.0320067
105,2000,0.0320067
106,2000,0.0320067
107,2000,0.0320067
108,2000,0.0320067
109,2000,0.0320067
110,2000,0.0320067
111,2000,0.0320067
112,2000,0.0320067
113,2000,0.0320067
114,2000,0.0320067
115,2000,0.0320067
116,2000,0.0320067
117,2000,0.0320067
118,2000,0.0320067
119,2000,0.0320067
120,2000,0.0320067
121,2000,0.0320067
122,2000,0.0320067
123,2000,0.0320067
124,2000,0.0320067
125,2000,0.0320067
126,2000,0.0320067
127,2000,0.0320067
128,2000,0.0320067
129,2000,0.0320067
130,2000,0.0320067
131,2000,0.0320067
132,2000,0.0320067
133,2000,0.0320067
134,2000,0.0320067
135,2000,0.0320067
136,2000,0.0320067
137,2000,0.0320067
138,2000,0.0320067
139,2000,0.0320067
140,2000,0.0320067
141,2000,0.0320067
142,2000,0.0320067
143,2000,0.0320067
144,2000,0.0320067
145,2000,0.0320067
146,2000,0.0320067
147,2000,0.0320067
148,2000,0.0320067
149,2000,0.0320067
150,2000,0.0320067
151,2000,0.0320067
152,2000,0.0320067
153,2000,0.0320067
154,2000,0.0320067
155,2000,0.0320067
156,2000,0.0320067
157,2000,0.0320067
158,2000,0.0320067
159,2000,0.0320067
160,2000,0.0320067
161,2000,0.0320067
162,2000,0.0320067
163,2000,0.0320067
164,2000,0.0320067
165,2000,0.0320067
166,2000,0.0320067
167,2000,0.0320067
168,2000,0.0320067
169,2000,0.0320067
170,2000,0.0320067
171,2000,0.0320067
172,2000,0.0320067
173,2000,0.0320067
174,2000,0.0320067
175,2000,0.0320067
176,2000,0.0320067
177,2000,0.0320067
178,2000,0.0320067
179,2000,0.0320067
180,2000,0.0320067
181,2000,0.0320067
182,2000,0.0320067
183,2000,0.0320067
184,2000,0.0320067
185,2000,0.0320067
186,2000,0.0320067
187,2000,0.0320067
188,2000,0.0320067
189,2000,0.0320067
190,2000,0.0320067
191,2000,0.0320067
192,2000,0.0320067
193,2000,0.0320067
194,2000,0.0320067
195,2000,0.0320067
196,2000,0.0320067
197,2000,0.0320067
198,2000,0.0320067
199,2000,0.0320067
200,2000,0.0320067
201,2000,0.0320067
202,2000,0.0320067
203,2000,0.0320067
204,2000,0.0320067
205,2000,0.0320067
206,2000,0.0320067
207,2000,0.0320067
208,2000,0.0320067
209,2000,0.0320067
210,2000,0.0320067
211,2000,0.0320067
212,2000,0.0320067
213,2000,0.0320067
214,2000,0.0320067
215,2000,0.0320067
216,2000,0.0320067
217,2000,0.0320067
218,2000,0.0320067
219,2000,0.0320067
220,2000,0.0320067
221,2000,0.0320067
222,2000,0.0320067
