metric,value
completed_requests,3
read_requests,0
write_requests,2
completed_bytes,8192
successful_bytes,8192
failed_requests,0
program_failures,0
corrected_reads,0
uncorrectable_reads,0
read_retries,0
makespan_ns,20286
measurement_duration_ns,20286
mean_latency_ns,12543
p99_latency_ns,18286
effective_bandwidth_GBps,0.403825
effective_goodput_GBps,0.403825
op_WRITE_count,2
op_WRITE_bytes,8192
op_WRITE_bandwidth_GBps,0.403825
op_WRITE_mean_latency_ns,11727.5
op_WRITE_p99_latency_ns,18286
op_ERASE_count,1
op_ERASE_bytes,0
op_ERASE_bandwidth_GBps,0
op_ERASE_mean_latency_ns,14174
op_ERASE_p99_latency_ns,14174
